,NPV,CAPEX,OPEX,revenue,revenue_coproduct,revenue_final_product,IRR,energy_generation,pathway,fs_price,lang_factor
18,1752388482.5108192,1182061487.4171433,150691346.74522385,588256285.5312005,66816945.35999999,394791540.00000054,43.275599993618364,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.8000000000000016
19,1706449953.4430444,1224277969.1106126,151957841.1960279,588256285.5312005,66816945.35999999,394791540.00000054,40.855139555198775,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.9000000000000017
20,1660511424.375269,1266494450.8040822,153224335.646832,588256285.5312005,66816945.35999999,394791540.00000054,38.66831342515691,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.0000000000000018
21,1614572895.3074937,1308710932.4975514,154490830.09763607,588256285.5312005,66816945.35999999,394791540.00000054,36.682189476137815,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.100000000000002
22,1568634366.2397192,1350927414.191021,155757324.54844016,588256285.5312005,66816945.35999999,394791540.00000054,34.86962510734975,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.200000000000002
23,1522695837.171944,1393143895.8844903,157023818.99924424,588256285.5312005,66816945.35999999,394791540.00000054,33.20807402286463,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.300000000000002
24,1476757308.1041684,1435360377.57796,158290313.45004833,588256285.5312005,66816945.35999999,394791540.00000054,31.678671523077373,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.400000000000002
25,1430818779.0363932,1477576859.2714293,159556807.9008524,588256285.5312005,66816945.35999999,394791540.00000054,30.26552633902908,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.500000000000002
26,1384880249.9686182,1519793340.9648988,160823302.3516565,588256285.5312005,66816945.35999999,394791540.00000054,28.95516728341363,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.6000000000000023
27,1338941720.9008424,1562009822.658368,162089796.80246055,588256285.5312005,66816945.35999999,394791540.00000054,27.736107122707065,924436497.5999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.7000000000000024
