,NPV,CAPEX,OPEX,revenue,revenue_coproduct,revenue_final_product,IRR,energy_generation,pathway,fs_price,lang_factor
0,2882529732.9706182,429280551.3457846,136222406.4169465,643431506.5200002,59822333.99999999,455528700.0000002,461.4305302673129,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.0
1,2835816894.0623045,472208606.4803631,137510248.07098383,643431506.5200002,59822333.99999999,455528700.0000002,372.40914731280384,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.1
2,2789104055.1539874,515136661.61494154,138798089.72502118,643431506.5200002,59822333.99999999,455528700.0000002,303.40369730839825,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.2000000000000002
3,2742391216.2456717,558064716.7495202,140085931.37905857,643431506.5200002,59822333.99999999,455528700.0000002,249.97957881045113,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.3000000000000003
4,2695678377.3373566,600992771.8840986,141373773.03309593,643431506.5200002,59822333.99999999,455528700.0000002,208.64075067892517,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.4000000000000004
5,2648965538.429041,643920827.0186771,142661614.68713325,643431506.5200002,59822333.99999999,455528700.0000002,176.56922161370835,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.5000000000000004
6,2602252699.5207253,686848882.1532556,143949456.34117064,643431506.5200002,59822333.99999999,455528700.0000002,151.52142933505183,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.6000000000000005
7,2555539860.612409,729776937.2878342,145237297.995208,643431506.5200002,59822333.99999999,455528700.0000002,131.7600710960246,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.7000000000000006
8,2508827021.704095,772704992.4224126,146525139.64924535,643431506.5200002,59822333.99999999,455528700.0000002,115.97520810289197,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.8000000000000007
9,2462114182.7957788,815633047.5569911,147812981.30328268,643431506.5200002,59822333.99999999,455528700.0000002,103.19659349596657,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,1.9000000000000008
10,2415401343.887464,858561102.6915696,149100822.95732003,643431506.5200002,59822333.99999999,455528700.0000002,92.71128330660727,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.000000000000001
11,2368688504.979148,901489157.8261482,150388664.6113574,643431506.5200002,59822333.99999999,455528700.0000002,83.99535894344068,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.100000000000001
12,2321975666.0708323,944417212.9607266,151676506.26539478,643431506.5200002,59822333.99999999,455528700.0000002,76.66162037085213,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.200000000000001
13,2275262827.1625156,987345268.0953051,152964347.9194321,643431506.5200001,59822333.99999999,455528700.0,70.42128360741398,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.300000000000001
14,2228549988.2542024,1030273323.2298836,154252189.57346946,643431506.5200003,59822333.99999999,455528700.0000003,65.0565794303138,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.4000000000000012
15,2181837149.345885,1073201378.364462,155540031.2275068,643431506.5200001,59822333.99999999,455528700.0,60.40133442784929,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.5000000000000013
16,2135124310.4375687,1116129433.4990406,156827872.88154414,643431506.5200001,59822333.99999999,455528700.0,56.32721883616598,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.6000000000000014
17,2088411471.5292532,1159057488.633619,158115714.53558153,643431506.5200001,59822333.99999999,455528700.00000006,52.733962124610656,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.7000000000000015
18,2041698632.6209388,1201985543.7681978,159403556.1896189,643431506.5200001,59822333.99999999,455528700.00000006,49.542336636859496,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.8000000000000016
19,1994985793.7126222,1244913598.9027762,160691397.84365624,643431506.5200001,59822333.99999999,455528700.00000006,46.68907722495976,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,2.9000000000000017
20,1948272954.8043077,1287841654.0373547,161979239.4976936,643431506.5200001,59822333.99999999,455528700.00000006,44.12316343105162,934893959.9999999,"['Ip[milling]', 'Ip[alkaline]', 'Ip[noprocess]', 'Ip[PDC-ferm]']",20,3.0000000000000018
