,NPV,CAPEX,OPEX,revenue,revenue_coproduct,revenue_final_product,IRR,energy_generation,pathway,fs_price,lang_factor
0,1907178842.664176,352659416.2641915,83669884.3203685,432965538.56159997,236190845.88,165734909.99999997,302.6989341371742,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.0
1,1868803653.1760788,387925357.8906107,84727862.56916106,432965538.5616,236190845.88,165734910.00000006,240.2743201022281,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.1
2,1830428463.6879807,423191299.5170299,85785840.81795365,432965538.5616,236190845.88,165734910.00000006,194.38007120906735,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.2000000000000002
3,1792053274.1998816,458457241.14344907,86843819.06674622,432965538.5616,236190845.88,165734910.00000003,160.45072807374865,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.3000000000000003
4,1753678084.7117841,493723182.76986825,87901797.3155388,432965538.5616,236190845.88,165734910.00000003,135.05813996034237,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.4000000000000004
5,1715302895.223686,528989124.3962875,88959775.56433138,432965538.5616,236190845.88,165734910.00000003,115.72842242836158,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.5000000000000004
6,1676927705.7355866,564255066.0227066,90017753.81312394,432965538.56159997,236190845.88,165734909.99999997,100.72882505895598,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.6000000000000005
7,1638552516.24749,599521007.6491257,91075732.06191652,432965538.5616,236190845.88,165734910.00000006,88.86170703806617,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.7000000000000006
8,1600177326.7593908,634786949.275545,92133710.3107091,432965538.5616,236190845.88,165734910.00000006,79.29878536662103,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.8000000000000007
9,1561802137.2712924,670052890.9019642,93191688.55950168,432965538.5616,236190845.88,165734909.99999997,71.4616765484531,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,1.9000000000000008
10,1523426947.7831943,705318832.5283834,94249666.80829424,432965538.5616,236190845.88,165734910.00000003,64.94056658266194,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,2.000000000000001
11,1485051758.2950962,740584774.1548027,95307645.05708686,432965538.5616,236190845.88,165734910.00000006,59.440173350538196,226567756.79999998,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,2.100000000000001
12,1446676568.8069978,775850715.7812217,96365623.3058794,432965538.5616,236190845.88,165734910.00000003,54.744034706302024,226567756.79999995,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,2.200000000000001
13,1408301379.3189003,811116657.4076412,97423601.554672,432965538.56160015,236190845.88,165734910.00000018,50.69077899959111,226567756.80000007,"['Ip[milling]', 'Ip[DSA]', 'Ip[BCD]', 'Ip[PDC-ferm]']",20,2.300000000000001
